,match_id,bigmatchflag
77,20190118-M-Australian_Open-R32-Stefanos_Tsitsipas-Nikoloz_Basilashvili,True
78,20190118-M-Australian_Open-R32-Fernando_Verdasco-Marin_Cilic,True
79,20190117-M-Australian_Open-R64-Marius_Copil-David_Goffin,True
80,20190117-M-Australian_Open-R64-Denis_Shapovalov-Taro_Daniel,True
81,20190116-M-Australian_Open-R64-Kevin_Anderson-Francis_Tiafoe,True
82,20190115-M-Australian_Open-R128-Ugo_Humbert-Jeremy_Chardy,True
83,20190115-M-Australian_Open-R128-Pierre_Hugues_Herbert-Sam_Querrey,True
84,20190115-M-Australian_Open-R128-Dominic_Thiem-Benoit_Paire,True
85,20190115-M-Australian_Open-R128-Alexander_Zverev-Aljaz_Bedene,True
86,20190114-M-Australian_Open-R128-Taylor_Harry_Fritz-Cameron_Norrie,True
87,20190114-M-Australian_Open-R128-Stefanos_Tsitsipas-Matteo_Berrettini,True
88,20190114-M-Australian_Open-R128-Mirza_Basic-Henri_Laaksonen,True
89,20190114-M-Australian_Open-R128-Jason_Kubler-Thomas_Fabbiano,True
90,20181125-M-Davis_Cup_World_Group_F-RR-Lucas_Pouille-Marin_Cilic,True
91,20181123-M-Davis_Cup_World_Group_F-RR-Marin_Cilic-Jo_Wilfried_Tsonga,True
92,20181123-M-Davis_Cup_World_Group_F-RR-Jeremy_Chardy-Borna_Coric,True
93,20180916-M-Davis_Cup_World_Group_SF-RR-Francis_Tiafoe-Borna_Coric,True
94,20180914-M-Davis_Cup_World_Group_PO-RR-Denis_Shapovalov-Robin_Haase,True
95,20180909-M-US_Open-F-Novak_Djokovic-Juan_Martin_Del_Potro,True
96,20180907-M-US_Open-SF-Novak_Djokovic-Kei_Nishikori,True
97,20180905-M-US_Open-QF-Rafael_Nadal-Dominic_Thiem,True
98,20180903-M-US_Open-R16-Roger_Federer-John_Millman,True
99,20180903-M-US_Open-R16-Juan_Martin_Del_Potro-Borna_Coric,True
100,20180901-M-US_Open-R32-Roger_Federer-Nick_Kyrgios,True
101,20180831-M-US_Open-R32-Rafael_Nadal-Karen_Khachanov,True
102,20180831-M-US_Open-R32-Kevin_Anderson-Denis_Shapovalov,True
103,20180831-M-US_Open-R32-Borna_Coric-Daniil_Medvedev,True
104,20180830-M-US_Open-R64-Benoit_Paire-Roger_Federer,True
105,20180829-M-US_Open-R64-Andy_Murray-Fernando_Verdasco,True
106,20180828-M-US_Open-R128-Yoshihito_Nishioka-Roger_Federer,True
107,20180828-M-US_Open-R128-Nikoloz_Basilashvili-Aljaz_Bedene,True
108,20180715-M-Wimbledon-F-Kevin_Anderson-Novak_Djokovic,True
109,20180713-M-Wimbledon-SF-Rafael_Nadal-Novak_Djokovic,True
110,20180713-M-Wimbledon-SF-Kevin_Anderson-John_Isner,True
111,20180711-M-Wimbledon-QF-Rafael_Nadal-Juan_Martin_Del_Potro,True
112,20180711-M-Wimbledon-QF-Novak_Djokovic-Kei_Nishikori,True
113,20180711-M-Wimbledon-QF-Milos_Raonic-John_Isner,True
114,20180711-M-Wimbledon-QF-Kevin_Anderson-Roger_Federer,True
115,20180709-M-Wimbledon-R16-Adrian_Mannarino-Roger_Federer,True
116,20180706-M-Wimbledon-R32-Roger_Federer-Jan_Lennard_Struff,True
117,20180704-M-Wimbledon-R64-Lukas_Lacko-Roger_Federer,True
118,20180702-M-Wimbledon-R128-Dusan_Lajovic-Roger_Federer,True
119,20180610-M-Roland_Garros-F-Rafael_Nadal-Dominic_Thiem,True
120,20180608-M-Roland_Garros-SF-Rafael_Nadal-Juan_Martin_Del_Potro,True
121,20180608-M-Roland_Garros-SF-Marco_Cecchinato-Dominic_Thiem,True
122,20180607-M-Roland_Garros-QF-Marin_Cilic-Juan_Martin_Del_Potro,True
123,20180605-M-Roland_Garros-QF-Marco_Cecchinato-Novak_Djokovic,True
124,20180605-M-Roland_Garros-QF-Alexander_Zverev-Dominic_Thiem,True
125,20180604-M-Roland_Garros-R16-John_Isner-Juan_Martin_Del_Potro,True
126,20180602-M-Roland_Garros-R32-Gael_Monfils-David_Goffin,True
127,20180531-M-Roland_Garros-R64-Marton_Fucsovics-Kyle_Edmund,True
128,20180530-M-Roland_Garros-R64-Novak_Djokovic-Jaume_Munar,True
129,20180528-M-Roland_Garros-R128-Borna_Coric-Philipp_Kohlschreiber,True
130,20180408-M-Davis_Cup_World_Group_QF-RR-David_Ferrer-Philipp_Kohlschreiber,True
131,20180128-M-Australian_Open-F-Marin_Cilic-Roger_Federer,True
132,20180124-M-Australian_Open-QF-Tomas_Berdych-Roger_Federer,True
133,20180122-M-Australian_Open-R16-Roger_Federer-Marton_Fucsovics,True
134,20180121-M-Australian_Open-R16-Grigor_Dimitrov-Nick_Kyrgios,True
135,20180120-M-Australian_Open-R32-Roger_Federer-Richard_Gasquet,True
136,20180118-M-Australian_Open-R64-Karen_Khachanov-Juan_Martin_Del_Potro,True
137,20180118-M-Australian_Open-R64-Jan_Lennard_Struff-Roger_Federer,True
138,20180117-M-Australian_Open-R64-Grigor_Dimitrov-Mackenzie_Mcdonald,True
139,20180116-M-Australian_Open-R128-Roger_Federer-Aljaz_Bedene,True
140,20180114-M-Australian_Open-R128-Rafael_Nadal-Victor_Estrella,True
141,20170910-M-US_Open-F-Kevin_Anderson-Rafael_Nadal,True
142,20170908-M-US_Open-SF-Rafael_Nadal-Juan_Martin_Del_Potro,True
143,20170829-M-US_Open_-R128-Rafael_Nadal-Dusan_Lajovic,True
144,20170716-M-Wimbledon-F-Marin_Cilic-Roger_Federer,True
145,20170714-M-Wimbledon-SF-Tomas_Berdych-Roger_Federer,True
146,20170714-M-Wimbledon-SF-Marin_Cilic-Sam_Querrey,True
147,20170710-M-Wimbledon-R16-Grigor_Dimitrov-Roger_Federer,True
148,20170710-M-Wimbledon-R16-Gilles_Muller-Rafael_Nadal,True
149,20170611-M-Roland_Garros-F-Rafael_Nadal-Stanislas_Wawrinka,True
150,20170609-M-Roland_Garros-SF-Stanislas_Wawrinka-Andy_Murray,True
151,20170607-M-Roland_Garros-QF-Novak_Djokovic-Dominic_Thiem,True
152,20170531-M-Roland_Garros-R64-Sergiy_Stakhovsky-David_Goffin,True
153,20170530-M-Roland_Garros-R128-Nick_Kyrgios-Philipp_Kohlschreiber,True
154,20170530-M-Roland_Garros-R128-Gael_Monfils-Dustin_Brown,True
155,20170127-M-Australian_Open-SF-Rafael_Nadal-Grigor_Dimitrov,True
156,20170126-M-Australian_Open-SF-Roger_Federer-Stanislas_Wawrinka,True
157,20170124-M-Australian_Open-QF-Roger_Federer-Mischa_Zverev,True
158,20170124-M-Australian_Open-QF-Milos_Raonic-Rafael_Nadal,True
159,20170122-M-Australian_Open-R16-Roger_Federer-Kei_Nishikori,True
160,20170121-M-Australian_Open-R32-Rafael_Nadal-Alexander_Zverev,True
161,20170121-M-Australian_Open-R32-Milos_Raonic-Gilles_Simon,True
162,20170120-M-Australian_Open-R32-Tomas_Berdych-Roger_Federer,True
163,20170119-M-Australian_Open-R64-Novak_Djokovic-Denis_Istomin,True
164,20170118-M-Australian_Open-R64-Nick_Kyrgios-Andreas_Seppi,True
165,20161127-M-Davis_Cup_World_Group_F-RR-Marin_Cilic-Juan_Martin_Del_Potro,True
166,20161125-M-Davis_Cup_World_Group_F-RR-Ivo_Karlovic-Juan_Martin_Del_Potro,True
167,20160911-M-US_Open-F-Novak_Djokovic-Stanislas_Wawrinka,True
168,20160909-M-US_Open-SF-Stanislas_Wawrinka-Kei_Nishikori,True
169,20160909-M-US_Open-SF-Novak_Djokovic-Gael_Monfils,True
170,20160908-M-US_Open-QF-Juan_Martin_Del_Potro-Stanislas_Wawrinka,True
171,20160906-M-US_Open-QF-Lucas_Pouille-Gael_Monfils,True
172,20160710-M-Wimbledon-F-Milos_Raonic-Andy_Murray,True
173,20160708-M-Wimbledon-SF-Milos_Raonic-Roger_Federer,True
174,20160708-M-Wimbledon-SF-Andy_Murray-Tomas_Berdych,True
175,20160706-M-Wimbledon-QF-Marin_Cilic-Roger_Federer,True
176,20160629-M-Wimbledon-R64-Roger_Federer-Marcus_Willis,True
177,20160603-M-Roland_Garros-SF-Stanislas_Wawrinka-Andy_Murray,True
178,20160603-M-Roland_Garros-SF-Novak_Djokovic-Dominic_Thiem,True
179,20160528-M-Roland_Garros-R32-Alexander_Zverev-Dominic_Thiem,True
180,20160304-M-Davis_Cup_World_Group_R1-RR-Frank_Dancevic-Gael_Monfils,True
