,Unnamed: 0,Unnamed: 0.1,match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stSV,2ndSV,1stNoSV,2ndNoSV,1stIn,2ndIn,isRally1st,isRally2nd,Sv1,Sv2,Rally,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,rallyNoSpec,rallyNoError,rallyNoDirection,rallyLen,PtWinner,isSvrWinner,PtsAfter,GmW,Gm1.1,Gm2.1,SetW,Set1.1,Set2.1,rallyCount,PtsServer,PtsRet,Date,Gender,City,Round,P1Name,P2Name,bigmatchflag,IsCrucialPoint,abouttowin,winorsave,PointType,ClutchPlayer,ClutchPlayerWon,ClutchPlayerLost
211,211,211,20200112-M-ATP_Cup-F-Roberto_Bautista_Agut-Dusan_Lajovic,11,0,0,1.0,0.0,15-40,2 (5),1,0,,2,1,DL,6n,5b17f2b3b3f1f1x@,,0,0.0,6n,5b17f2b3b3f1f1x@,0,1.0,0,1,6n,5,b17f2b3b3f1f1x@,False,False,False,False,True,False,b17f2b3b3f1f1x,b17f2b3b3f1f1,bfbbff,6,1,0,GM,1,2,0,0,0,0,6,15,40,20200112,M,ATP_Cup,F,Roberto_Bautista_Agut,Dusan_Lajovic,,True,1,Win,BreakPoint,Roberto_Bautista_Agut,Roberto_Bautista_Agut,Dusan_Lajovic
229,229,229,20200112-M-ATP_Cup-F-Roberto_Bautista_Agut-Dusan_Lajovic,29,0,0,3.0,1.0,30-40,5 (6),1,0,,1,2,RBA,6f39f3f3b3f3b3f3b3b2f1f1f3s1w@,,,0,,6f39f3f3b3f3b3f3b3b2f1f1f3s1w@,,1,,1,0,6,,f39f3f3b3f3b3f3b3b2f1f1f3s1w@,False,False,False,False,True,False,f39f3f3b3f3b3f3b3b2f1f1f3s1w,f39f3f3b3f3b3f3b3b2f1f1f3s1,fffbfbfbbfffs,13,1,1,40-40,0,3,1,0,0,0,13,30,40,20200112,M,ATP_Cup,F,Roberto_Bautista_Agut,Dusan_Lajovic,,True,2,Save,BreakPoint,Roberto_Bautista_Agut,Roberto_Bautista_Agut,Dusan_Lajovic
231,231,231,20200112-M-ATP_Cup-F-Roberto_Bautista_Agut-Dusan_Lajovic,31,0,0,3.0,1.0,40-AD,5 (8),1,0,,1,2,RBA,5b2d#,,,0,,5b2d#,,1,,1,0,5,,b2d#,False,False,False,True,False,False,b2d,b2,b,1,1,1,40-40,0,3,1,0,0,0,1,40,50,20200112,M,ATP_Cup,F,Roberto_Bautista_Agut,Dusan_Lajovic,,True,2,Save,BreakPoint,Roberto_Bautista_Agut,Roberto_Bautista_Agut,Dusan_Lajovic
233,233,233,20200112-M-ATP_Cup-F-Roberto_Bautista_Agut-Dusan_Lajovic,33,0,0,3.0,1.0,40-AD,5 (10),1,0,,1,2,RBA,6f29f3b3b3f1f2s3b+3b3z1w@,,,0,,6f29f3b3b3f1f2s3b+3b3z1w@,,1,,1,0,6,,f29f3b3b3f1f2s3b+3b3z1w@,False,False,False,False,True,False,f29f3b3b3f1f2s3b3b3z1w,f29f3b3b3f1f2s3b3b3z1,ffbbffsbbz,10,2,0,GM,2,3,2,0,0,0,10,40,50,20200112,M,ATP_Cup,F,Roberto_Bautista_Agut,Dusan_Lajovic,,True,2,Win,BreakPoint,Dusan_Lajovic,Dusan_Lajovic,Roberto_Bautista_Agut
239,239,239,20200112-M-ATP_Cup-F-Roberto_Bautista_Agut-Dusan_Lajovic,39,0,0,3.0,2.0,30-40,6 (6),1,0,,2,1,DL,4b39f2f3b2f3b3b3b2b2f1*,,,0,,4b39f2f3b2f3b3b3b2b2f1*,,1,,1,0,4,,b39f2f3b2f3b3b3b2b2f1*,False,False,True,False,False,False,b39f2f3b2f3b3b3b2b2f1,b39f2f3b2f3b3b3b2b2f1,bffbfbbbbf,10,2,1,40-40,0,3,2,0,0,0,11,30,40,20200112,M,ATP_Cup,F,Roberto_Bautista_Agut,Dusan_Lajovic,,True,1,Save,BreakPoint,Dusan_Lajovic,Dusan_Lajovic,Roberto_Bautista_Agut
241,241,241,20200112-M-ATP_Cup-F-Roberto_Bautista_Agut-Dusan_Lajovic,41,0,0,3.0,2.0,40-AD,6 (8),1,0,,2,1,DL,4b28f+1f3d#,,,0,,4b28f+1f3d#,,1,,1,0,4,,b28f+1f3d#,False,False,False,True,False,False,b28f1f3d,b28f1f3,bff,3,2,1,40-40,0,3,2,0,0,0,3,40,50,20200112,M,ATP_Cup,F,Roberto_Bautista_Agut,Dusan_Lajovic,,True,1,Save,BreakPoint,Dusan_Lajovic,Dusan_Lajovic,Roberto_Bautista_Agut
254,254,254,20200112-M-ATP_Cup-F-Roberto_Bautista_Agut-Dusan_Lajovic,54,0,0,4.0,3.0,30-40,8 (6),1,0,,2,1,DL,4b39f3b1f1f1f3b2b2f;2b3b3b2b1f1f2s3b3b2b1f1f1f1*,,,0,,4b39f3b1f1f1f3b2b2f;2b3b3b2b1f1f2s3b3b2b1f1f1f1*,,1,,1,0,4,,b39f3b1f1f1f3b2b2f;2b3b3b2b1f1f2s3b3b2b1f1f1f1*,False,False,True,False,False,False,b39f3b1f1f1f3b2b2f2b3b3b2b1f1f2s3b3b2b1f1f1f1,b39f3b1f1f1f3b2b2f2b3b3b2b1f1f2s3b3b2b1f1f1f1,bfbfffbbfbbbbffsbbbfff,22,2,1,40-40,0,4,3,0,0,0,23,30,40,20200112,M,ATP_Cup,F,Roberto_Bautista_Agut,Dusan_Lajovic,,True,1,Save,BreakPoint,Dusan_Lajovic,Dusan_Lajovic,Roberto_Bautista_Agut
267,267,267,20200112-M-ATP_Cup-F-Roberto_Bautista_Agut-Dusan_Lajovic,67,0,0,5.0,4.0,40-30,10 (6),1,0,,2,1,DL,4b17f1w@,,,0,,4b17f1w@,,1,,1,0,4,,b17f1w@,False,False,False,False,True,False,b17f1w,b17f1,bf,2,1,0,40-40,0,5,4,0,0,0,2,40,30,20200112,M,ATP_Cup,F,Roberto_Bautista_Agut,Dusan_Lajovic,,True,2,Save,SetPoint,Roberto_Bautista_Agut,Roberto_Bautista_Agut,Dusan_Lajovic
269,269,269,20200112-M-ATP_Cup-F-Roberto_Bautista_Agut-Dusan_Lajovic,69,0,0,5.0,4.0,AD-40,10 (8),1,0,,2,1,DL,4b3d#,,,0,,4b3d#,,1,,1,0,4,,b3d#,False,False,False,True,False,False,b3d,b3,b,1,2,1,GM,2,5,5,0,0,0,1,50,40,20200112,M,ATP_Cup,F,Roberto_Bautista_Agut,Dusan_Lajovic,,True,2,Win,SetPoint,Dusan_Lajovic,Dusan_Lajovic,Roberto_Bautista_Agut
279,279,279,20200112-M-ATP_Cup-F-Roberto_Bautista_Agut-Dusan_Lajovic,79,0,0,6.0,5.0,15-40,12 (5),1,0,,2,1,DL,6w,6b37s3n@,,0,0.0,6w,6b37s3n@,0,1.0,0,1,6w,6,b37s3n@,False,False,False,False,True,False,b37s3n,b37s3,bs,2,1,0,GM,1,7,5,1,1,0,2,15,40,20200112,M,ATP_Cup,F,Roberto_Bautista_Agut,Dusan_Lajovic,,True,1,Win,SetPoint,Roberto_Bautista_Agut,Roberto_Bautista_Agut,Dusan_Lajovic
