,Unnamed: 0,Unnamed: 0.1,match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stSV,2ndSV,1stNoSV,2ndNoSV,1stIn,2ndIn,isRally1st,isRally2nd,Sv1,Sv2,Rally,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,rallyNoSpec,rallyNoError,rallyNoDirection,rallyLen,PtWinner,isSvrWinner,PtsAfter,GmW,Gm1.1,Gm2.1,SetW,Set1.1,Set2.1,rallyCount,PtsServer,PtsRet,Date,Gender,City,Round,P1Name,P2Name,bigmatchflag,IsCrucialPoint,abouttowin,winorsave,PointType,ClutchPlayer,ClutchPlayerWon,ClutchPlayerLost
402,402,402,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,86,1,0,1.0,2.0,15-40,11 (5),1,0,,1,2,ND,6s27f19*,,,0,,6s27f19*,,1,,1,0,6,,s27f19*,False,False,True,False,False,False,s27f19,s27f19,sf,2,1,1,30-40,0,1,2,0,1,0,3,15,40,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,2,Save,BreakPoint,Novak_Djokovic,Novak_Djokovic,Daniil_Medvedev
403,403,403,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,87,1,0,1.0,2.0,30-40,11 (6),1,0,,1,2,ND,5r39f17f18f19w@,,Djokovic destroys his racket and receives a warning for racket abuse.,0,,5r39f17f18f19w@,,1,,1,0,5,,r39f17f18f19w@,False,False,False,False,True,False,r39f17f18f19w,r39f17f18f19,rfff,4,2,0,GM,2,1,3,0,1,0,4,30,40,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,2,Win,BreakPoint,Daniil_Medvedev,Daniil_Medvedev,Novak_Djokovic
409,409,409,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,93,1,0,1.0,3.0,30-40,12 (6),1,0,,2,1,DM,4s19f19f27f39b27b39b29f18f28f39b38b38b19f18f19f39b29f19f18f39b29b19r18f;19f18f19r29f39b27b18*,,,0,,4s19f19f27f39b27b39b29f18f28f39b38b38b19f18f19f39b29f19f18f39b29b19r18f;19f18f19r29f39b27b18*,,1,,1,0,4,,s19f19f27f39b27b39b29f18f28f39b38b38b19f18f19f39b29f19f18f39b29b19r18f;19f18f19r29f39b27b18*,False,False,True,False,False,False,s19f19f27f39b27b39b29f18f28f39b38b38b19f18f19f39b29f19f18f39b29b19r18f19f18f19r29f39b27b18,s19f19f27f39b27b39b29f18f28f39b38b38b19f18f19f39b29f19f18f39b29b19r18f19f18f19r29f39b27b18,sfffbbbfffbbbfffbfffbbrfffrfbb,30,2,1,40-40,0,1,3,0,1,0,31,30,40,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,1,Save,BreakPoint,Daniil_Medvedev,Daniil_Medvedev,Novak_Djokovic
424,424,424,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,108,1,0,2.0,4.0,40-AD,14 (8),1,0,,2,1,DM,5b19f17f18f28b28b29s28b29b28f38b38b28f38b29b29f39b29b28y37y+17l-3p27h1n#,,,0,,5b19f17f18f28b28b29s28b29b28f38b38b28f38b29b29f39b29b28y37y+17l-3p27h1n#,,1,,1,0,5,,b19f17f18f28b28b29s28b29b28f38b38b28f38b29b29f39b29b28y37y+17l-3p27h1n#,False,False,False,True,False,False,b19f17f18f28b28b29s28b29b28f38b38b28f38b29b29f39b29b28y37y17l3p27h1n,b19f17f18f28b28b29s28b29b28f38b38b28f38b29b29f39b29b28y37y17l3p27h1,bfffbbsbbfbbfbbfbbyylph,23,2,1,40-40,0,2,4,0,1,0,23,40,50,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,1,Save,BreakPoint,Daniil_Medvedev,Daniil_Medvedev,Novak_Djokovic
426,426,426,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,110,1,0,2.0,4.0,40-AD,14 (10),1,0,,2,1,DM,4d,5b38b39b39b29s27b38b39b27s29f38b28f19f28f39b37s18w@,,0,0.0,4d,5b38b39b39b29s27b38b39b27s29f38b28f19f28f39b37s18w@,0,1.0,0,1,4d,5,b38b39b39b29s27b38b39b27s29f38b28f19f28f39b37s18w@,False,False,False,False,True,False,b38b39b39b29s27b38b39b27s29f38b28f19f28f39b37s18w,b38b39b39b29s27b38b39b27s29f38b28f19f28f39b37s18,bbbbsbbbsfbfffbs,16,1,0,GM,1,3,4,0,1,0,16,40,50,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,1,Win,BreakPoint,Novak_Djokovic,Novak_Djokovic,Daniil_Medvedev
450,450,450,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,134,1,0,4.0,5.0,40-15,17 (5),1,0,,1,2,ND,4f2n#,,,0,,4f2n#,,1,,1,0,4,,f2n#,False,False,False,True,False,False,f2n,f2,f,1,1,1,GM,1,5,5,0,1,0,1,40,15,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,1,Win,SetPoint,Novak_Djokovic,Novak_Djokovic,Daniil_Medvedev
466,466,466,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,150,1,0,5.0,6.0,30-40,19 (6),1,0,,1,2,ND,4+b2z19f3z37b19*,,17/20 17/19 W/UE ND/DM,1,,4b2z19f3z37b19*,,1,,1,0,4,,b2z19f3z37b19*,False,False,True,False,False,False,b2z19f3z37b19,b2z19f3z37b19,bzfzb,5,2,0,GM,2,5,7,2,1,1,6,30,40,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,2,Win,SetPoint,Daniil_Medvedev,Daniil_Medvedev,Novak_Djokovic
495,495,495,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,179,1,1,2.0,2.0,30-40,24 (6),1,0,,2,1,DM,6r29f18*,,,0,,6r29f18*,,1,,1,0,6,,r29f18*,False,False,True,False,False,False,r29f18,r29f18,rf,2,2,1,40-40,0,2,2,0,1,1,3,30,40,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,1,Save,BreakPoint,Daniil_Medvedev,Daniil_Medvedev,Novak_Djokovic
501,501,501,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,185,1,1,2.0,2.0,40-AD,24 (12),1,0,,2,1,DM,4+g,5b38b39b38b38b38b38b29b28s37b18f18f29b28f28b38b38s29b39b29b38b28f17f18f;27f+19f3z^37b-3z18*,,1,0.0,4g,5b38b39b38b38b38b38b29b28s37b18f18f29b28f28b38b38s29b39b29b38b28f17f18f;27f+19f3z^37b-3z18*,0,1.0,0,1,4+g,5,b38b39b38b38b38b38b29b28s37b18f18f29b28f28b38b38s29b39b29b38b28f17f18f;27f+19f3z^37b-3z18*,False,False,True,False,False,False,b38b39b38b38b38b38b29b28s37b18f18f29b28f28b38b38s29b39b29b38b28f17f18f27f19f3z37b3z18,b38b39b38b38b38b38b29b28s37b18f18f29b28f28b38b38s29b39b29b38b28f17f18f27f19f3z37b3z18,bbbbbbbbsbffbfbbsbbbbfffffzbz,29,1,0,GM,1,3,2,0,1,1,30,40,50,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,1,Win,BreakPoint,Novak_Djokovic,Novak_Djokovic,Daniil_Medvedev
521,521,521,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,205,1,1,5.0,3.0,40-0,28 (4),1,0,,2,1,DM,4d,6f1n#,,0,0.0,4d,6f1n#,0,1.0,0,1,4d,6,f1n#,False,False,False,True,False,False,f1n,f1,f,1,2,1,GM,2,5,4,0,1,1,1,40,0,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,2,Win,SetPoint,Daniil_Medvedev,Daniil_Medvedev,Novak_Djokovic
527,527,527,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,211,1,1,5.0,4.0,30-40,29 (6),1,0,,1,2,ND,6f29f19f39b39s28f18f2n#,,,0,,6f29f19f39b39s28f18f2n#,,1,,1,0,6,,f29f19f39b39s28f18f2n#,False,False,False,True,False,False,f29f19f39b39s28f18f2n,f29f19f39b39s28f18f2,fffbsff,7,1,1,40-40,0,5,4,0,1,1,7,30,40,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,2,Save,SetPoint,Novak_Djokovic,Novak_Djokovic,Daniil_Medvedev
529,529,529,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,213,1,1,5.0,4.0,40-AD,29 (8),1,0,,1,2,ND,6r27f-18f3z^27y-27m-3z27h38s1n#,,,0,,6r27f-18f3z^27y-27m-3z27h38s1n#,,1,,1,0,6,,r27f-18f3z^27y-27m-3z27h38s1n#,False,False,False,True,False,False,r27f18f3z27y27m3z27h38s1n,r27f18f3z27y27m3z27h38s1,rffzymzhs,9,1,1,40-40,0,5,4,0,1,1,9,40,50,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,2,Save,SetPoint,Novak_Djokovic,Novak_Djokovic,Daniil_Medvedev
531,531,531,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,215,1,1,5.0,4.0,AD-40,29 (10),1,0,,1,2,ND,4b28b19f39b37b39b19f17f28b18*,,,0,,4b28b19f39b37b39b19f17f28b18*,,1,,1,0,4,,b28b19f39b37b39b19f17f28b18*,False,False,True,False,False,False,b28b19f39b37b39b19f17f28b18,b28b19f39b37b39b19f17f28b18,bbfbbbffb,9,2,0,40-40,0,5,4,0,1,1,10,50,40,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,1,Save,SetPoint,Daniil_Medvedev,Daniil_Medvedev,Novak_Djokovic
533,533,533,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,217,1,1,5.0,4.0,40-AD,29 (12),1,0,,1,2,ND,4b28f+18f3n#,,,0,,4b28f+18f3n#,,1,,1,0,4,,b28f+18f3n#,False,False,False,True,False,False,b28f18f3n,b28f18f3,bff,3,1,1,40-40,0,5,4,0,1,1,3,40,50,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,2,Save,SetPoint,Novak_Djokovic,Novak_Djokovic,Daniil_Medvedev
535,535,535,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,219,1,1,5.0,4.0,AD-40,29 (14),1,0,,1,2,ND,4b28f18f18f28b28b28b39b29f29b18f18f39s28f+19f1n#,,39/34 30/40 W/UE ND/DM,0,,4b28f18f18f28b28b28b39b29f29b18f18f39s28f+19f1n#,,1,,1,0,4,,b28f18f18f28b28b28b39b29f29b18f18f39s28f+19f1n#,False,False,False,True,False,False,b28f18f18f28b28b28b39b29f29b18f18f39s28f19f1n,b28f18f18f28b28b28b39b29f29b18f18f39s28f19f1,bfffbbbbfbffsff,15,1,1,GM,1,6,4,1,2,1,15,50,40,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,1,Win,SetPoint,Novak_Djokovic,Novak_Djokovic,Daniil_Medvedev
587,587,587,20200111-M-ATP_Cup-SF-Dusan_Lajovic-Karen_Khachanov,52,0,0,5.0,4.0,40-15,10 (5),1,0,,2,1,KK,5b3w#,,,0,,5b3w#,,1,,1,0,5,,b3w#,False,False,False,True,False,False,b3w,b3,b,1,2,1,GM,2,5,5,0,0,0,1,40,15,20200111,M,ATP_Cup,SF,Dusan_Lajovic,Karen_Khachanov,,True,2,Win,SetPoint,Karen_Khachanov,Karen_Khachanov,Dusan_Lajovic
598,598,598,20200111-M-ATP_Cup-SF-Dusan_Lajovic-Karen_Khachanov,63,0,0,6.0,5.0,40-15,12 (5),1,0,,2,1,KK,6d,5b28f38b28f19f18f38b28r27f+18f3n#,,0,0.0,6d,5b28f38b28f19f18f38b28r27f+18f3n#,0,1.0,0,1,6d,5,b28f38b28f19f18f38b28r27f+18f3n#,False,False,False,True,False,False,b28f38b28f19f18f38b28r27f18f3n,b28f38b28f19f18f38b28r27f18f3,bfbfffbrff,10,1,0,40-30,0,6,5,0,0,0,10,40,15,20200111,M,ATP_Cup,SF,Dusan_Lajovic,Karen_Khachanov,,True,2,Save,SetPoint,Dusan_Lajovic,Dusan_Lajovic,Karen_Khachanov
599,599,599,20200111-M-ATP_Cup-SF-Dusan_Lajovic-Karen_Khachanov,64,0,0,6.0,5.0,40-30,12 (6),1,0,,2,1,KK,5b39b37f39b3z=18f3z3z2v19*,,,0,,5b39b37f39b3z=18f3z3z2v19*,,1,,1,0,5,,b39b37f39b3z=18f3z3z2v19*,False,False,True,False,False,False,b39b37f39b3z18f3z3z2v19,b39b37f39b3z18f3z3z2v19,bbfbzfzzv,9,1,0,40-40,0,6,5,0,0,0,10,40,30,20200111,M,ATP_Cup,SF,Dusan_Lajovic,Karen_Khachanov,,True,2,Save,SetPoint,Dusan_Lajovic,Dusan_Lajovic,Karen_Khachanov
601,601,601,20200111-M-ATP_Cup-SF-Dusan_Lajovic-Karen_Khachanov,66,0,0,6.0,5.0,AD-40,12 (8),1,0,,2,1,KK,6r18f18f19f39w@,,,0,,6r18f18f19f39w@,,1,,1,0,6,,r18f18f19f39w@,False,False,False,False,True,False,r18f18f19f39w,r18f18f19f39,rfff,4,1,0,40-40,0,6,5,0,0,0,4,50,40,20200111,M,ATP_Cup,SF,Dusan_Lajovic,Karen_Khachanov,,True,2,Save,SetPoint,Dusan_Lajovic,Dusan_Lajovic,Karen_Khachanov
603,603,603,20200111-M-ATP_Cup-SF-Dusan_Lajovic-Karen_Khachanov,68,0,0,6.0,5.0,AD-40,12 (10),1,0,,2,1,KK,4b29f39s37s1d@,,,0,,4b29f39s37s1d@,,1,,1,0,4,,b29f39s37s1d@,False,False,False,False,True,False,b29f39s37s1d,b29f39s37s1,bfss,4,1,0,40-40,0,6,5,0,0,0,4,50,40,20200111,M,ATP_Cup,SF,Dusan_Lajovic,Karen_Khachanov,,True,2,Save,SetPoint,Dusan_Lajovic,Dusan_Lajovic,Karen_Khachanov
605,605,605,20200111-M-ATP_Cup-SF-Dusan_Lajovic-Karen_Khachanov,70,0,0,6.0,5.0,AD-40,12 (12),1,0,,2,1,KK,6f28f18f18f28b28b29f19f18f29b3n@,,,0,,6f28f18f18f28b28b29f19f18f29b3n@,,1,,1,0,6,,f28f18f18f28b28b29f19f18f29b3n@,False,False,False,False,True,False,f28f18f18f28b28b29f19f18f29b3n,f28f18f18f28b28b29f19f18f29b3,ffffbbfffb,10,1,0,40-40,0,6,5,0,0,0,10,50,40,20200111,M,ATP_Cup,SF,Dusan_Lajovic,Karen_Khachanov,,True,2,Save,SetPoint,Dusan_Lajovic,Dusan_Lajovic,Karen_Khachanov
607,607,607,20200111-M-ATP_Cup-SF-Dusan_Lajovic-Karen_Khachanov,72,0,0,6.0,5.0,AD-40,12 (14),1,0,,2,1,KK,4d,5n,,0,0.0,4d,5n,0,0.0,0,0,4d,5n,,False,False,False,False,False,True,,,,0,1,0,40-40,0,6,5,0,0,0,0,50,40,20200111,M,ATP_Cup,SF,Dusan_Lajovic,Karen_Khachanov,,True,2,Save,SetPoint,Dusan_Lajovic,Dusan_Lajovic,Karen_Khachanov
609,609,609,20200111-M-ATP_Cup-SF-Dusan_Lajovic-Karen_Khachanov,74,0,0,6.0,5.0,40-AD,12 (16),1,0,,2,1,KK,6f28f39b28f38b37b38b29f18f18f29b19r38b18*,,Khachanov destroys his racket and receives a warning for racket abuse.,0,,6f28f39b28f38b37b38b29f18f18f29b19r38b18*,,1,,1,0,6,,f28f39b28f38b37b38b29f18f18f29b19r38b18*,False,False,True,False,False,False,f28f39b28f38b37b38b29f18f18f29b19r38b18,f28f39b28f38b37b38b29f18f18f29b19r38b18,ffbfbbbfffbrb,13,1,0,GM,1,7,5,1,1,0,14,40,50,20200111,M,ATP_Cup,SF,Dusan_Lajovic,Karen_Khachanov,,True,1,Win,SetPoint,Dusan_Lajovic,Dusan_Lajovic,Karen_Khachanov
662,662,662,20200111-M-ATP_Cup-SF-Dusan_Lajovic-Karen_Khachanov,127,1,0,5.0,4.0,40-0,22 (4),1,0,,2,1,KK,4n,5f2d@,,0,0.0,4n,5f2d@,0,1.0,0,1,4n,5,f2d@,False,False,False,False,True,False,f2d,f2,f,1,2,1,GM,2,5,5,0,1,0,1,40,0,20200111,M,ATP_Cup,SF,Dusan_Lajovic,Karen_Khachanov,,True,2,Win,SetPoint,Karen_Khachanov,Karen_Khachanov,Dusan_Lajovic
673,673,673,20200111-M-ATP_Cup-SF-Dusan_Lajovic-Karen_Khachanov,138,1,0,6.0,5.0,40-15,24 (5),1,0,,2,1,KK,6*,,,0,,6*,,1,,0,0,6*,,,True,False,False,False,False,False,,,,0,2,1,GM,2,6,6,0,1,0,1,40,15,20200111,M,ATP_Cup,SF,Dusan_Lajovic,Karen_Khachanov,,True,2,Win,SetPoint,Karen_Khachanov,Karen_Khachanov,Dusan_Lajovic
680,680,680,20200111-M-ATP_Cup-SF-Dusan_Lajovic-Karen_Khachanov,145,1,0,6.0,6.0,0-6,25 (7),1,1,7.0,2,1,KK,4*,,,0,,4*,,1,,0,0,4*,,,True,False,False,False,False,False,,,,0,2,1,6-Jan,0,6,6,0,1,0,1,0,6,20200111,M,ATP_Cup,SF,Dusan_Lajovic,Karen_Khachanov,,True,1,Save,SetPoint,Karen_Khachanov,Karen_Khachanov,Dusan_Lajovic
681,681,681,20200111-M-ATP_Cup-SF-Dusan_Lajovic-Karen_Khachanov,146,1,0,6.0,6.0,1-Jun,25 (8),1,1,8.0,1,2,DL,5d,5b38b28f29f28b39s38f29f39b29f18r1n#,,0,0.0,5d,5b38b28f29f28b39s38f29f39b29f18r1n#,0,1.0,0,1,5d,5,b38b28f29f28b39s38f29f39b29f18r1n#,False,False,False,True,False,False,b38b28f29f28b39s38f29f39b29f18r1n,b38b28f29f28b39s38f29f39b29f18r1,bbffbsffbfr,11,1,1,GM,1,7,6,1,2,0,11,1,6,20200111,M,ATP_Cup,SF,Dusan_Lajovic,Karen_Khachanov,,True,1,Win,SetPoint,Dusan_Lajovic,Dusan_Lajovic,Karen_Khachanov
685,685,685,20200110-M-Doha-SF-Stanislas_Wawrinka-Corentin_Moutet,4,0,0,0.0,0.0,0-40,1 (4),1,0,,1,2,SW,6b2d#,,,0,,6b2d#,,1,,1,0,6,,b2d#,False,False,False,True,False,False,b2d,b2,b,1,1,1,15-40,0,0,0,0,0,0,1,0,40,20200110,M,Doha,SF,Stanislas_Wawrinka,Corentin_Moutet,,True,2,Save,BreakPoint,Stanislas_Wawrinka,Stanislas_Wawrinka,Corentin_Moutet
686,686,686,20200110-M-Doha-SF-Stanislas_Wawrinka-Corentin_Moutet,5,0,0,0.0,0.0,15-40,1 (5),1,0,,1,2,SW,6r28b3f3b3f3b3f3b3f1r2f+3m2o1w@,,,0,,6r28b3f3b3f3b3f3b3f1r2f+3m2o1w@,,1,,1,0,6,,r28b3f3b3f3b3f3b3f1r2f+3m2o1w@,False,False,False,False,True,False,r28b3f3b3f3b3f3b3f1r2f3m2o1w,r28b3f3b3f3b3f3b3f1r2f3m2o1,rbfbfbfbfrfmo,13,1,1,30-40,0,0,0,0,0,0,13,15,40,20200110,M,Doha,SF,Stanislas_Wawrinka,Corentin_Moutet,,True,2,Save,BreakPoint,Stanislas_Wawrinka,Stanislas_Wawrinka,Corentin_Moutet
687,687,687,20200110-M-Doha-SF-Stanislas_Wawrinka-Corentin_Moutet,6,0,0,0.0,0.0,30-40,1 (6),1,0,,1,2,SW,4d,4f28f2b3b1b1f1f2b2f2f3f3f1s1f1s2f+3f1v1*,,0,0.0,4d,4f28f2b3b1b1f1f2b2f2f3f3f1s1f1s2f+3f1v1*,0,1.0,0,1,4d,4,f28f2b3b1b1f1f2b2f2f3f3f1s1f1s2f+3f1v1*,False,False,True,False,False,False,f28f2b3b1b1f1f2b2f2f3f3f1s1f1s2f3f1v1,f28f2b3b1b1f1f2b2f2f3f3f1s1f1s2f3f1v1,ffbbbffbffffsfsffv,18,1,1,40-40,0,0,0,0,0,0,19,30,40,20200110,M,Doha,SF,Stanislas_Wawrinka,Corentin_Moutet,,True,2,Save,BreakPoint,Stanislas_Wawrinka,Stanislas_Wawrinka,Corentin_Moutet
705,705,705,20200110-M-Doha-SF-Stanislas_Wawrinka-Corentin_Moutet,24,0,0,2.0,1.0,15-40,4 (5),1,0,,2,1,CM,4d,6b27f2b3f2b1b2b3*,,0,0.0,4d,6b27f2b3f2b1b2b3*,0,1.0,0,1,4d,6,b27f2b3f2b1b2b3*,False,False,True,False,False,False,b27f2b3f2b1b2b3,b27f2b3f2b1b2b3,bfbfbbb,7,1,0,GM,1,3,1,0,0,0,8,15,40,20200110,M,Doha,SF,Stanislas_Wawrinka,Corentin_Moutet,,True,1,Win,BreakPoint,Stanislas_Wawrinka,Stanislas_Wawrinka,Corentin_Moutet
724,724,724,20200110-M-Doha-SF-Stanislas_Wawrinka-Corentin_Moutet,43,0,0,5.0,2.0,40-0,8 (4),1,0,,2,1,CM,4b29b3b1j2*,,,0,,4b29b3b1j2*,,1,,1,0,4,,b29b3b1j2*,False,False,True,False,False,False,b29b3b1j2,b29b3b1j2,bbbj,4,2,1,GM,2,5,3,0,0,0,5,40,0,20200110,M,Doha,SF,Stanislas_Wawrinka,Corentin_Moutet,,True,2,Win,SetPoint,Corentin_Moutet,Corentin_Moutet,Stanislas_Wawrinka
728,728,728,20200110-M-Doha-SF-Stanislas_Wawrinka-Corentin_Moutet,47,0,0,5.0,3.0,40-0,9 (4),1,0,,1,2,SW,5d,4#,,0,0.0,5d,4#,0,1.0,0,0,5d,4#,,False,True,False,False,False,False,,,,0,1,1,GM,1,6,3,1,1,0,1,40,0,20200110,M,Doha,SF,Stanislas_Wawrinka,Corentin_Moutet,,True,1,Win,SetPoint,Stanislas_Wawrinka,Stanislas_Wawrinka,Corentin_Moutet
749,749,749,20200110-M-Doha-SF-Stanislas_Wawrinka-Corentin_Moutet,68,1,0,1.0,2.0,15-40,13 (5),1,0,,1,2,SW,4*,,,0,,4*,,1,,0,0,4*,,,True,False,False,False,False,False,,,,0,1,1,30-40,0,1,2,0,1,0,1,15,40,20200110,M,Doha,SF,Stanislas_Wawrinka,Corentin_Moutet,,True,2,Save,BreakPoint,Stanislas_Wawrinka,Stanislas_Wawrinka,Corentin_Moutet
750,750,750,20200110-M-Doha-SF-Stanislas_Wawrinka-Corentin_Moutet,69,1,0,1.0,2.0,30-40,13 (6),1,0,,1,2,SW,6*,,,0,,6*,,1,,0,0,6*,,,True,False,False,False,False,False,,,,0,1,1,40-40,0,1,2,0,1,0,1,30,40,20200110,M,Doha,SF,Stanislas_Wawrinka,Corentin_Moutet,,True,2,Save,BreakPoint,Stanislas_Wawrinka,Stanislas_Wawrinka,Corentin_Moutet
779,779,779,20200110-M-Doha-SF-Stanislas_Wawrinka-Corentin_Moutet,98,1,0,4.0,5.0,40-0,19 (4),1,0,,1,2,SW,6w,4w,,0,0.0,6w,4w,0,0.0,0,0,6w,4w,,False,False,False,False,False,True,,,,0,2,0,40-15,0,4,5,0,1,0,0,40,0,20200110,M,Doha,SF,Stanislas_Wawrinka,Corentin_Moutet,,True,1,Save,SetPoint,Corentin_Moutet,Corentin_Moutet,Stanislas_Wawrinka
780,780,780,20200110-M-Doha-SF-Stanislas_Wawrinka-Corentin_Moutet,99,1,0,4.0,5.0,40-15,19 (5),1,0,,1,2,SW,4*,,,0,,4*,,1,,0,0,4*,,,True,False,False,False,False,False,,,,0,1,1,GM,1,5,5,0,1,0,1,40,15,20200110,M,Doha,SF,Stanislas_Wawrinka,Corentin_Moutet,,True,1,Win,SetPoint,Stanislas_Wawrinka,Stanislas_Wawrinka,Corentin_Moutet
791,791,791,20200110-M-Doha-SF-Stanislas_Wawrinka-Corentin_Moutet,110,1,0,5.0,6.0,30-40,21 (6),1,0,,1,2,SW,6w,4f38b3f3f2d@,,0,0.0,6w,4f38b3f3f2d@,0,1.0,0,1,6w,4,f38b3f3f2d@,False,False,False,False,True,False,f38b3f3f2d,f38b3f3f2,fbff,4,2,0,GM,2,5,7,2,1,1,4,30,40,20200110,M,Doha,SF,Stanislas_Wawrinka,Corentin_Moutet,,True,2,Win,SetPoint,Corentin_Moutet,Corentin_Moutet,Stanislas_Wawrinka
800,800,800,20200110-M-Doha-SF-Stanislas_Wawrinka-Corentin_Moutet,119,1,1,0.0,1.0,15-40,23 (5),1,0,,1,2,SW,4b2d#,,Moutet incorrect challenge,0,,4b2d#,,1,,1,0,4,,b2d#,False,False,False,True,False,False,b2d,b2,b,1,1,1,30-40,0,0,1,0,1,1,1,15,40,20200110,M,Doha,SF,Stanislas_Wawrinka,Corentin_Moutet,,True,2,Save,BreakPoint,Stanislas_Wawrinka,Stanislas_Wawrinka,Corentin_Moutet
801,801,801,20200110-M-Doha-SF-Stanislas_Wawrinka-Corentin_Moutet,120,1,1,0.0,1.0,30-40,23 (6),1,0,,1,2,SW,6b29f3f3f3*,,,0,,6b29f3f3f3*,,1,,1,0,6,,b29f3f3f3*,False,False,True,False,False,False,b29f3f3f3,b29f3f3f3,bfff,4,1,1,40-40,0,0,1,0,1,1,5,30,40,20200110,M,Doha,SF,Stanislas_Wawrinka,Corentin_Moutet,,True,2,Save,BreakPoint,Stanislas_Wawrinka,Stanislas_Wawrinka,Corentin_Moutet
803,803,803,20200110-M-Doha-SF-Stanislas_Wawrinka-Corentin_Moutet,122,1,1,0.0,1.0,40-AD,23 (8),1,0,,1,2,SW,6b29f1b1f2f1*,,,0,,6b29f1b1f2f1*,,1,,1,0,6,,b29f1b1f2f1*,False,False,True,False,False,False,b29f1b1f2f1,b29f1b1f2f1,bfbff,5,2,0,GM,2,0,2,0,1,1,6,40,50,20200110,M,Doha,SF,Stanislas_Wawrinka,Corentin_Moutet,,True,2,Win,BreakPoint,Corentin_Moutet,Corentin_Moutet,Stanislas_Wawrinka
815,815,815,20200110-M-Doha-SF-Stanislas_Wawrinka-Corentin_Moutet,134,1,1,0.0,3.0,30-40,25 (6),1,0,,1,2,SW,4d,4r37b1s2n#,,0,0.0,4d,4r37b1s2n#,0,1.0,0,1,4d,4,r37b1s2n#,False,False,False,True,False,False,r37b1s2n,r37b1s2,rbs,3,1,1,40-40,0,0,3,0,1,1,3,30,40,20200110,M,Doha,SF,Stanislas_Wawrinka,Corentin_Moutet,,True,2,Save,BreakPoint,Stanislas_Wawrinka,Stanislas_Wawrinka,Corentin_Moutet
817,817,817,20200110-M-Doha-SF-Stanislas_Wawrinka-Corentin_Moutet,136,1,1,0.0,3.0,40-AD,25 (8),1,0,,1,2,SW,6n,6b1n@,,0,0.0,6n,6b1n@,0,1.0,0,1,6n,6,b1n@,False,False,False,False,True,False,b1n,b1,b,1,1,1,40-40,0,0,3,0,1,1,1,40,50,20200110,M,Doha,SF,Stanislas_Wawrinka,Corentin_Moutet,,True,2,Save,BreakPoint,Stanislas_Wawrinka,Stanislas_Wawrinka,Corentin_Moutet
842,842,842,20200110-M-Doha-SF-Stanislas_Wawrinka-Corentin_Moutet,161,1,1,2.0,5.0,40-15,29 (5),1,0,,1,2,SW,4b38b3*,,,0,,4b38b3*,,1,,1,0,4,,b38b3*,False,False,True,False,False,False,b38b3,b38b3,bb,2,1,1,GM,1,3,5,0,1,1,3,40,15,20200110,M,Doha,SF,Stanislas_Wawrinka,Corentin_Moutet,,True,1,Win,SetPoint,Stanislas_Wawrinka,Stanislas_Wawrinka,Corentin_Moutet
